Collector (PI),Specimen_ID,Genus,Species,order,sex,mass (g),date,Country,Departament,Municipio,Locality,Longitude,Latitude,elevation,Ectoparasite_sample,Ectoparsite Sampling Method,Ecotparasite Box Location (Cold Storage),ectoparasites_box,lice_total,feather_mites_total,ticks_total,flies_total,fleas_total
GAL,A2558,Mionectes,olivaceus,Passeriformes,U,33.75,20150421,Colombia,Risaralda,Pueblo rico,Tatama,-76.078,5.223055556,1600.0,YES,powder,Universidad Icesi,,0.0,0.0,0.0,0.0,0.0
GAL,A2570,Glyphorynchus,sprirus,Passeriformes,U,25.8,20150422,Colombia,Risaralda,Pueblo rico,Tatama,-76.078,5.223055556,1600.0,YES,powder,Universidad Icesi,,0.0,0.0,0.0,0.0,0.0
GAL,A2571,Mionectes,olivaceus,Passeriformes,M,32.92,20150422,Colombia,Risaralda,Pueblo rico,Tatama,-76.078,5.223055556,1600.0,YES,powder,Universidad Icesi,,0.0,0.0,0.0,0.0,0.0
GAL,A2573,Myiotriccus,ornatus,Passeriformes,U,20.75,20150422,Colombia,Risaralda,Pueblo rico,Tatama,-76.078,5.223055556,1600.0,YES,powder,Universidad Icesi,,0.0,0.0,0.0,0.0,0.0
GAL,A2574,Mionectes,olivaceus,Passeriformes,M,31.03,20150423,Colombia,Risaralda,Pueblo rico,Tatama,-76.078,5.223055556,1600.0,YES,powder,Universidad Icesi,,0.0,0.0,0.0,0.0,0.0
GAL,A2577,Dysithamnus,mentalis,Passeriformes,F,30.71,20150423,Colombia,Risaralda,Pueblo rico,Tatama,-76.078,5.223055556,1600.0,YES,powder,Universidad Icesi,,0.0,0.0,0.0,0.0,0.0
GAL,A2598,Basileuterus,tristiatus,Passeriformes,U,25.56,20150410,Colombia,Risaralda,Pueblo rico,Tatama,-76.09191667,5.23225,1400.0,YES,powder,Universidad Icesi,,0.0,0.0,0.0,0.0,0.0
GAL,A2602,Haplospiza,rustica,Passeriformes,U,34.41,2015056,Colombia,Risaralda,Pueblo rico,Tatama,-76.07927778,5.219972222,1500.0,YES,powder,Universidad Icesi,"E3,59;E3,60",2.0,>10,0.0,0.0,0.0
GAL,A2604,Sporophila,funerea,Passeriformes,F,24.44,2015056,Colombia,Risaralda,Pueblo rico,Tatama,-76.07927778,5.219972222,1500.0,YES,powder,Universidad Icesi,,0.0,0.0,0.0,0.0,0.0
GAL,A2610,Catamblyrhynchus,diadema,Passeriformes,U,38.13,20150514,Colombia,Risaralda,Pueblo rico,Tatama,-76.11211111,5.256888889,2400.0,YES,powder,Universidad Icesi,"E3,65",0.0,0.0,0.0,0.0,0.0
GAL,A2611,Myioborus,ornatus,Passeriformes,U,,20150516,Colombia,Risaralda,Pueblo rico,Tatama,-76.11355556,5.256194444,2500.0,YES,powder,Universidad Icesi,"E3,69",0.0,>10,0.0,0.0,0.0
GAL,A2612,Diglossa,albilatera,Passeriformes,F,20.71,20150516,Colombia,Risaralda,Pueblo rico,Tatama,-76.11355556,5.256194444,2500.0,YES,powder,Universidad Icesi,,0.0,0.0,0.0,0.0,0.0
GAL,A2620,Ochthoeca,diadema,Passeriformes,U,20.52,20150519,Colombia,Risaralda,Pueblo rico,Tatama,-76.11355556,5.256194444,2500.0,YES,powder,Universidad Icesi,,0.0,0.0,0.0,0.0,0.0
GAL,A2621,Diglossa,albilatera,Passeriformes,M,22.41,20150520,Colombia,Risaralda,Pueblo rico,Tatama,-76.11013889,5.257611111,2300.0,YES,powder,Universidad Icesi,,0.0,0.0,0.0,0.0,0.0
GAL,A2622,Henicorhina,sp.,Passeriformes,U,29.95,20150520,Colombia,Risaralda,Pueblo rico,Tatama,-76.11013889,5.257611111,2300.0,YES,powder,Universidad Icesi,,0.0,0.0,0.0,0.0,0.0
